stadium_id,name,city,state,lat,lon,surface,roof,elevation
arrowhead,Arrowhead Stadium,Kansas City,MO,39.0489,-94.4839,grass,open,909
highmark,Highmark Stadium,Orchard Park,NY,42.7738,-78.7870,grass,open,630
