player_id,game_id,team,position,offense_snaps,defense_snaps,st_snaps,offense_pct,defense_pct,st_pct
,2025_01_ARI_NO,ARI,CB,0.0,75.0,8.0,0.0,1.0,0.3
,2025_01_ARI_NO,ARI,S,0.0,75.0,5.0,0.0,1.0,0.19
,2025_01_ARI_NO,ARI,CB,0.0,75.0,5.0,0.0,1.0,0.19
,2025_01_ARI_NO,ARI,S,0.0,75.0,3.0,0.0,1.0,0.11
,2025_01_ARI_NO,ARI,LB,0.0,75.0,0.0,0.0,1.0,0.0
,2025_01_ARI_NO,ARI,S,0.0,50.0,14.0,0.0,0.67,0.52
,2025_01_ARI_NO,ARI,LB,0.0,47.0,0.0,0.0,0.63,0.0
,2025_01_ARI_NO,ARI,CB,0.0,45.0,4.0,0.0,0.6,0.15
,2025_01_ARI_NO,ARI,DL,0.0,42.0,5.0,0.0,0.56,0.19
,2025_01_ARI_NO,ARI,LB,0.0,40.0,0.0,0.0,0.53,0.0
,2025_01_ARI_NO,ARI,LB,0.0,37.0,9.0,0.0,0.49,0.33
,2025_01_ARI_NO,ARI,DL,0.0,34.0,5.0,0.0,0.45,0.19
,2025_01_ARI_NO,ARI,DL,0.0,33.0,5.0,0.0,0.44,0.19
,2025_01_ARI_NO,ARI,DL,0.0,29.0,0.0,0.0,0.39,0.0
,2025_01_ARI_NO,ARI,LB,0.0,28.0,19.0,0.0,0.37,0.7
,2025_01_ARI_NO,ARI,LB,0.0,28.0,10.0,0.0,0.37,0.37
,2025_01_ARI_NO,ARI,DL,0.0,25.0,5.0,0.0,0.33,0.19
,2025_01_ARI_NO,ARI,DL,0.0,11.0,0.0,0.0,0.15,0.0
,2025_01_ARI_NO,ARI,S,0.0,0.0,22.0,0.0,0.0,0.81
,2025_01_ARI_NO,ARI,LB,0.0,0.0,20.0,0.0,0.0,0.74
,2025_01_ARI_NO,ARI,RB,0.0,0.0,16.0,0.0,0.0,0.59
,2025_01_ARI_NO,ARI,CB,0.0,0.0,15.0,0.0,0.0,0.56
,2025_01_ARI_NO,ARI,S,0.0,0.0,10.0,0.0,0.0,0.37
,2025_01_ARI_NO,ARI,K,0.0,0.0,10.0,0.0,0.0,0.37
,2025_01_ARI_NO,ARI,LB,0.0,0.0,10.0,0.0,0.0,0.37
,2025_01_ARI_NO,ARI,LS,0.0,0.0,9.0,0.0,0.0,0.33
,2025_01_ARI_NO,ARI,P,0.0,0.0,9.0,0.0,0.0,0.33
,2025_01_ARI_NO,ARI,OL,0.0,0.0,5.0,0.0,0.0,0.19
,2025_01_ARI_NO,ARI,OL,0.0,0.0,5.0,0.0,0.0,0.19
,2025_01_ARI_NO,ARI,OL,0.0,0.0,5.0,0.0,0.0,0.19
,2025_01_ARI_NO,ARI,WR,0.0,0.0,1.0,0.0,0.0,0.04
,2025_01_BAL_BUF,BUF,G,85.0,0.0,6.0,1.0,0.0,0.17
,2025_01_BAL_BUF,BUF,G,85.0,0.0,6.0,1.0,0.0,0.17
,2025_01_BAL_BUF,BUF,T,85.0,0.0,6.0,1.0,0.0,0.17
,2025_01_BAL_BUF,BUF,T,85.0,0.0,6.0,1.0,0.0,0.17
,2025_01_BAL_BUF,BUF,G,85.0,0.0,0.0,1.0,0.0,0.0
,2025_01_BAL_BUF,BUF,QB,85.0,0.0,0.0,1.0,0.0,0.0
,2025_01_BAL_BUF,BUF,WR,75.0,0.0,0.0,0.88,0.0,0.0
,2025_01_BAL_BUF,BUF,WR,60.0,0.0,0.0,0.71,0.0,0.0
