team_id,abbr,conference,division,coach,home_stadium_id
KC,KC,AFC,West,Andy Reid,arrowhead
BUF,BUF,AFC,East,Sean McDermott,highmark
BAL,BAL,AFC,North,John Harbaugh,mt_bank
PIT,PIT,AFC,North,Mike Tomlin,heinz
